Cabinet,Dept,Program,Expense Category,FY21 Actual Expense,FY22 Actual Expense,FY23 Appropriation,FY24 Adopted
Mayor's Cabinet,Intergovernmental Relations,IGR,Contractual Services,171102.42,181763.77,192299,41161
Mayor's Cabinet,Intergovernmental Relations,Grants Administration,Contractual Services,-25,198.21,#Missing,300
Mayor's Cabinet,Intergovernmental Relations,IGR,Supplies & Materials,2328.75,4063.22,6200,6200
Mayor's Cabinet,Intergovernmental Relations,IGR,Current Charges & Obligations,191807.1,192661.08,192717,158209
Mayor's Cabinet,Intergovernmental Relations,Grants Administration,Current Charges & Obligations,330,300,330,330
Mayor's Cabinet,Law Department,Law Operations,Personnel Services,939652.89,1720068.17,1258313.208,1724794.202
Mayor's Cabinet,Law Department,Litigation,Personnel Services,1165591.62,728780.69,1504899.284,1493350.636
Mayor's Cabinet,Law Department,Government Services,Personnel Services,3107260.92,2974614.11,4684669.184,4975153.76
Mayor's Cabinet,Law Department,Law Operations,Contractual Services,246143.51,318348.31,369425,284989.2
Mayor's Cabinet,Law Department,Litigation,Contractual Services,1900050.81,2348433.15,1665800,1832339
Mayor's Cabinet,Law Department,Government Services,Contractual Services,20821.58,36453.06,150700,87754.2
Mayor's Cabinet,Law Department,Law Operations,Supplies & Materials,10528.29,11120.92,16375,18650
Mayor's Cabinet,Law Department,Litigation,Supplies & Materials,52.19,1210.44,2000,#Missing
Mayor's Cabinet,Law Department,Government Services,Supplies & Materials,727.6,902.55,2000,#Missing
Mayor's Cabinet,Law Department,Law Operations,Current Charges & Obligations,61166.92,49673.26,33000,105159
Mayor's Cabinet,Law Department,Litigation,Current Charges & Obligations,28207.33,7387.21,37000,23270
Mayor's Cabinet,Law Department,Government Services,Current Charges & Obligations,22749.93,23801.57,60500,26100
Mayor's Cabinet,Law Department,Law Operations,Equipment,#Missing,660,4228,0
Mayor's Cabinet,Law Department,Litigation,Equipment,#Missing,2535,#Missing,#Missing
Mayor's Cabinet,Law Department,Government Services,Equipment,#Missing,3171,#Missing,0
Equity & Inclusion Cabinet,Office of Equity,Equity,Personnel Services,#Missing,379820.05,1236553.967,1581279.742
Equity & Inclusion Cabinet,Office of Equity,Equity,Contractual Services,#Missing,15435.08,106620,938010
Equity & Inclusion Cabinet,Office of Equity,Equity,Supplies & Materials,#Missing,1462.83,10500,32100
Equity & Inclusion Cabinet,Office of Equity,Equity,Current Charges & Obligations,#Missing,2179.88,11000,4533
Equity & Inclusion Cabinet,Office of Equity,Equity,Equipment,#Missing,16636.2,6000,1249
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Personnel Services,#Missing,1661595.3,0,#Missing
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Contractual Services,#Missing,1187521.92,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Supplies & Materials,#Missing,9694.27,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Current Charges & Obligations,#Missing,4031.87,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Equipment,#Missing,11692.09,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Diversity,Diversity,Personnel Services,#Missing,193721.87,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Diversity,Diversity,Contractual Services,#Missing,40655.58,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Diversity,Diversity,Current Charges & Obligations,#Missing,18695.83,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Diversity,Diversity,Equipment,#Missing,1147,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Personnel Services,#Missing,263230.42,284316.2052,#Missing
Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Contractual Services,#Missing,1473716.13,842160,#Missing
Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Supplies & Materials,#Missing,3509.73,250,#Missing
Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Current Charges & Obligations,#Missing,#Missing,155,#Missing
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Personnel Services,#Missing,248986.69,748081.2797,1072099.189
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Contractual Services,#Missing,463090.02,1048550.76,830000
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Supplies & Materials,#Missing,2481.05,1936.24,13143
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Current Charges & Obligations,#Missing,#Missing,5670,5000
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Equipment,#Missing,2025.36,44428,76945
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Personnel Services,182642.1,359467.99,484545.9788,527894.7701
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Contractual Services,11169.68,1845.86,134500,87300
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Supplies & Materials,#Missing,242.9,1000,8000
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Current Charges & Obligations,1016.36,3198.59,11000,1200
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Equipment,#Missing,5495,#Missing,#Missing
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Personnel Services,688559.37,806227.45,966445.8526,1272870.169
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Contractual Services,420389.28,858347.52,2115085,2023217
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Supplies & Materials,5531.54,9273.48,11500,11400
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Current Charges & Obligations,923.91,4486.53,16324,15324
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Equipment,5760,13553.29,#Missing,#Missing
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Personnel Services,309482.14,309104.93,340272.496,495311.1058
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Contractual Services,156871.59,432183.65,134573,185973
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Supplies & Materials,#Missing,1394.5,800,800
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Current Charges & Obligations,#Missing,3024.11,140,#Missing
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Equipment,#Missing,3501.06,#Missing,#Missing
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Personnel Services,#Missing,#Missing,1054418.36,1055105.339
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Contractual Services,#Missing,#Missing,726550,726550
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Supplies & Materials,#Missing,#Missing,10500,10500
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Current Charges & Obligations,#Missing,#Missing,2800,2800
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Equipment,#Missing,#Missing,9500,9500
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Personnel Services,179181.26,266874.1,406034.0036,306980.5806
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Contractual Services,7476.45,168529.03,113240,166240
Equity & Inclusion Cabinet,Fair Housing & Equity,Human Rights History,Contractual Services,#Missing,143.43,#Missing,#Missing
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Supplies & Materials,3061.46,6572.16,11822,11822
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Current Charges & Obligations,590.46,42021.83,2150,235
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Equipment,1700,16760,#Missing,#Missing
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Personnel Services,#Missing,#Missing,220000,481539.1159
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Contractual Services,#Missing,#Missing,202250,228250
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Supplies & Materials,#Missing,#Missing,15000,16000
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Current Charges & Obligations,#Missing,#Missing,2750,2750
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Equipment,#Missing,#Missing,5000,4000
Equity & Inclusion Cabinet,Commission for Persons with Disabilities,Disabilities,Personnel Services,474250.56,483631.8,659932.9147,707847.1765
Equity & Inclusion Cabinet,Commission for Persons with Disabilities,Disabilities,Contractual Services,4992.95,15904.75,21150,63069
Equity & Inclusion Cabinet,Commission for Persons with Disabilities,Disabilities,Supplies & Materials,4757.39,9232.49,7000,7490
Equity & Inclusion Cabinet,Commission for Persons with Disabilities,Disabilities,Equipment,880,2974,0,0
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Personnel Services,0,482414.94,1089212.793,1216543.925
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Contractual Services,0,65382.21,99460,84610
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Supplies & Materials,0,8838.29,20000,13000
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Current Charges & Obligations,0,43996.1,98870.83,102631.9
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Equipment,0,92311.76,6000,6000
OPAT Cabinet,Office of Police Accountability & Transparency,Civilian Review Board (CRB),Personnel Services,0,16225,49999.574,19414.28286
OPAT Cabinet,Office of Police Accountability & Transparency,Internal Affairs Oversight Panel (IOAP),Personnel Services,0,8575,124999.93,10785.71715
Operations Cabinet,Property Management Department,PM Administration,Personnel Services,1806599.13,1990985.16,1917832.399,2207924.662
Operations Cabinet,Property Management Department,PM Administration,Contractual Services,82966.66,116724.08,111598,110015.6
Operations Cabinet,Property Management Department,PM Administration,Supplies & Materials,15995.41,30618.58,15861.45104,74100
Operations Cabinet,Property Management Department,PM Administration,Current Charges & Obligations,85867.97,125558.95,109440,89415
Operations Cabinet,Property Management Department,PM Administration,Equipment,#Missing,#Missing,#Missing,0
Operations Cabinet,Property Management Department,Building Operations,Personnel Services,1673553.77,2208087.82,2481388.909,4158656.045
Operations Cabinet,Property Management Department,Building Operations,Contractual Services,5472360.58,7006501.08,7025431.947,8908972.332
Operations Cabinet,Property Management Department,Building Operations,Supplies & Materials,90202.93,667193.95,162625,180385.321
Operations Cabinet,Property Management Department,Building Operations,Current Charges & Obligations,6373.88,8873.19,41094,1702803
Operations Cabinet,Property Management Department,Building Operations,Equipment,45806.27,27380.36,104225,157708.5
Operations Cabinet,Property Management Department,Alterations & Repair,Personnel Services,504368.91,635205.99,718836.9306,731201.0515
Operations Cabinet,Property Management Department,Alterations & Repair,Contractual Services,3861196.54,5766626.66,1436905,1198575.6
Operations Cabinet,Property Management Department,Alterations & Repair,Supplies & Materials,46455.68,69636.74,69965,69965
Operations Cabinet,Property Management Department,Alterations & Repair,Equipment,570760.67,27329.6,#Missing,19793.4
Operations Cabinet,Property Management Department,Enforcement,Personnel Services,2479753.91,2501062.92,2701620.98,2959274.056
Operations Cabinet,Property Management Department,Enforcement,Contractual Services,95733.2,99948.35,94918,182133.1
Operations Cabinet,Property Management Department,Enforcement,Supplies & Materials,124976.11,75345.26,80500.95784,45055.328
Operations Cabinet,Property Management Department,Enforcement,Current Charges & Obligations,8656.67,8759.98,8000,18000
Operations Cabinet,Property Management Department,Enforcement,Equipment,37.49,27494.01,40072.36,103505.289
Operations Cabinet,Property Management Department,Security Systems,Personnel Services,667933.94,644620.46,731363.3156,817230.1289
Operations Cabinet,Property Management Department,Security Systems,Contractual Services,9448.84,4423.3,15586,15586
Operations Cabinet,Property Management Department,Security Systems,Supplies & Materials,6075.83,14248.89,20130,17400
Operations Cabinet,Property Management Department,Security Systems,Current Charges & Obligations,1913.81,32.4,900,900
Operations Cabinet,Property Management Department,Security Systems,Equipment,11103.65,6834.21,20636,41188.6
Operations Cabinet,Property Management Department,Animal Control History,Equipment,#Missing,#Missing,#Missing,0
Operations Cabinet,Property Management Department,Building Systems,Personnel Services,564902.62,611583.39,814909.1348,621244.9196
Operations Cabinet,Property Management Department,Building Systems,Contractual Services,1101131.81,1268163.5,1605650,1596310
Operations Cabinet,Property Management Department,Building Systems,Supplies & Materials,33466.46,11835.91,54500,54500
Operations Cabinet,Property Management Department,Building Systems,Current Charges & Obligations,1350,2450,2500,2500
Operations Cabinet,Property Management Department,Building Systems,Equipment,970,2694.99,3000,3000
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Personnel Services,6809366.37,7335539.27,8312994.004,9539509.435
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Contractual Services,332634.41,474416.13,470260,477395
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Supplies & Materials,9799,13583.69,27012.4952,21502.2
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Current Charges & Obligations,11159.23,10238.21,21700,20713
Operations Cabinet,Public Facilities Department,PFD Capital Construction,Equipment,#Missing,9222.91,5800,5800
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Personnel Services,843403.71,1263528.21,996022.4843,1009666.867
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Contractual Services,394930.13,395255.32,277750.5797,292099.4719
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Supplies & Materials,6513.63,1788.81,1269.9625,1258
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Current Charges & Obligations,37267.52,65761.2,63018,60904
Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Equipment,#Missing,2453.24,2453,2453
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Personnel Services,2205104.21,2519242.9,2924589.74,3464350.216
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Contractual Services,221097.63,415183.58,580151,336850
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Supplies & Materials,167011.62,159835.72,196376.6582,206982
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Current Charges & Obligations,828721.51,917900.01,703240,133126.99
Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Equipment,31989.28,243167.18,22272.4,24278.61
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Personnel Services,7598632.5,7746582.28,8638483.784,8922375.067
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Contractual Services,508606.07,560879.97,299206,302010
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Supplies & Materials,25790.18,29977.22,34459.975,24238
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Current Charges & Obligations,7530,8833.27,98326,6150
Operations Cabinet,Inspectional Services Department,Buildings & Structures,Equipment,17087.61,113132.81,8511.56,8358.12
Operations Cabinet,Inspectional Services Department,Field Services,Personnel Services,6720591.59,6894352.23,7716196.731,7975343.317
Operations Cabinet,Inspectional Services Department,Field Services,Contractual Services,225893.5,235796.6,297241,300915
Operations Cabinet,Inspectional Services Department,Field Services,Supplies & Materials,39243.59,51271.84,34450.34883,28312.984
Operations Cabinet,Inspectional Services Department,Field Services,Current Charges & Obligations,2760,3765,5550,6800
Operations Cabinet,Inspectional Services Department,Field Services,Equipment,17196.78,33062.15,35505.47,48339.47
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Personnel Services,640264,673613.21,934962.5079,740676.6007
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Contractual Services,59936.85,161962.77,46100,111100
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Supplies & Materials,2969.14,1902.84,7188.985,7285
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Current Charges & Obligations,20027.76,24103.41,2430.48,8302
Community Engagement Cabinet,Neighborhood Services,ONS Administration,Equipment,#Missing,16373,#Missing,#Missing
Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Personnel Services,1293366.34,1583781.78,1599393.165,1480239.639
Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Contractual Services,-825,102233.72,10200,16081.2
Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Supplies & Materials,1046.66,#Missing,3800,3800
Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Personnel Services,87220.71,74400.76,74950.0046,190773.435
Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Contractual Services,20855.79,8500.68,1090,36792
Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Supplies & Materials,555.9,#Missing,500,500
Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Equipment,3270,#Missing,#Missing,#Missing
Community Engagement Cabinet,Neighborhood Services,Boston 311,Personnel Services,1465349.24,1575088.58,1967746.206,1993242.509
Community Engagement Cabinet,Neighborhood Services,Boston 311,Contractual Services,426363.49,#Missing,7000,13318
Community Engagement Cabinet,Neighborhood Services,Boston 311,Supplies & Materials,141.6,#Missing,2700,2700
Community Engagement Cabinet,Neighborhood Services,Boston 311,Current Charges & Obligations,#Missing,#Missing,776,-215
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Personnel Services,1091020.73,1211535.16,1739662.058,2212299.611
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Contractual Services,975980.06,2234496.11,2287943.031,2257041.219
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Supplies & Materials,2399.78,2961.39,5000,15000
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Current Charges & Obligations,21681.54,45006.96,45148,45752
Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Equipment,8366.24,1273.19,#Missing,0
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Personnel Services,781579.59,1292740.38,1811985.679,1713687.993
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Contractual Services,47344.41,720603.83,389419,335503.07
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Supplies & Materials,1985.3,5679.62,12000,23500
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Current Charges & Obligations,12990.21,46719.09,63409.81,83544
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Equipment,30007.78,6477.78,4200,3599.45
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Equity & Inclusion History,Personnel Services,1206451.98,#Missing,#Missing,#Missing
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Equity & Inclusion History,Contractual Services,1178283.7,12049.25,#Missing,#Missing
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Equity & Inclusion History,Supplies & Materials,2000,#Missing,#Missing,#Missing
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Equity & Inclusion History,Current Charges & Obligations,28000,4.32,#Missing,#Missing
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Personnel Services,179370.84,160699.93,632922.0074,937314.4408
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Contractual Services,385609,1623229.05,3059100,3318776.05
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Supplies & Materials,299.96,5325,12010,20300
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Current Charges & Obligations,#Missing,#Missing,2033.02,140300
Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Equipment,#Missing,1395.48,#Missing,4889.67
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Personnel Services,569288.05,654298.54,707022.1238,731753.3273
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,2014.77,6184.04,4100,6635
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Supplies & Materials,582.58,1756.17,2250,2250
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Current Charges & Obligations,3216.23,4865.4,1335,350
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Equipment,770,#Missing,#Missing,#Missing
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Personnel Services,173037.05,67367.8,64655.58211,75051.98715
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Contractual Services,#Missing,#Missing,#Missing,1052
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Personnel Services,745539.33,865178.33,1008222.706,1106395.741
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Contractual Services,10250.58,39875.61,10590,14452
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Supplies & Materials,7667.33,8561.54,12250,12250
Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Current Charges & Obligations,6095.62,3333.84,5430,5820
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Personnel Services,#Missing,#Missing,#Missing,1795023.771
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Contractual Services,#Missing,#Missing,#Missing,1096758
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Supplies & Materials,#Missing,#Missing,#Missing,5610
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Current Charges & Obligations,#Missing,#Missing,#Missing,0
Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Equipment,#Missing,#Missing,#Missing,4800
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Personnel Services,486965.5,430981.83,483280.6349,606725.5243
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Contractual Services,16768.21,1014363.09,31980,36480
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Supplies & Materials,#Missing,2858.15,14400,14400
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Current Charges & Obligations,1.64,409.26,450,-46
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Equipment,5371.59,#Missing,#Missing,#Missing
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Personnel Services,207661.97,224922.91,308725.9647,282855.0657
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Contractual Services,12797.83,5421.37,330900,331502
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Supplies & Materials,270.91,1306.71,1286.9432,1947.9614
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Current Charges & Obligations,35393.89,44116.53,60000,60000
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Equipment,462.5,30273.83,2000,24488.81
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Other Expenses,49325.67,173135.44,225000,225000
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Personnel Services,70092.83,75461.84,78079.49343,169898.3214
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Contractual Services,1848.49,1504.34,4500,4500
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Supplies & Materials,1469.75,484.03,2500,2500
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Current Charges & Obligations,#Missing,250,100,100
Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Other Expenses,6337.14,26721.34,38750,38750
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Boston Residents Job Policy,Personnel Services,#Missing,#Missing,2246597.273,909513.5798
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Boston Residents Job Policy,Contractual Services,#Missing,#Missing,1236950,133740
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Boston Residents Job Policy,Supplies & Materials,#Missing,#Missing,10430,5820
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Boston Residents Job Policy,Current Charges & Obligations,#Missing,#Missing,7198,0
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Boston Residents Job Policy,Equipment,#Missing,#Missing,4000,3200
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Worker Empowerment Administration,Personnel Services,#Missing,#Missing,#Missing,367180.305
